........5.2...78....8..53..56........93...7..8.1.69..3..........59....86.87.1.59.,26,61,10,4,0,1,0,4,4,Expert,
4...5.....2.7.46..6..9..7.........4734...7..9.8..6.52....6.........89........2483,26,46,12,0,0,1,0,2,2,Expert,
..4.3...7.9.5...4.27.1.85......93......7.4.......8.97.........3...41...9.51...8.2,26,44,10,2,0,0,0,1,0,Expert,
.7.2........86.7.11....9.58............1.2.79..9...8....69.5.....8.2.36........2.,24,45,30,0,0,0,0,4,4,Expert,
.9.....7.638..14....1...8..1798...5..5.....68...35.1...85.3............9..6...51.,27,29,23,0,1,0,0,2,0,Expert,
.79..4...2..........4.........3.7.9.....6.1...67..9.2..5....3..4.37..2.19.1.5..74,26,39,15,1,0,0,0,1,0,Expert,
.91...2.......48.65............2......7...9.882.5..4....68....4....47.6..7......9,23,40,17,2,0,0,0,1,0,Expert,
...879.3......59.....4...2.4......5.2...8..4.7...9.8...7..4.36......27..3.296.4..,27,43,10,1,0,0,0,1,0,Expert,
......2495..7.9.......1.7.5...3.....9..5..3..1.........1.6.4..7.65.3.1.27.9.5.4..,27,38,15,0,0,0,1,1,0,Expert,
..4.28...5.7.......9.....3.....3....71..5.34.....8..95.....1...3...47...182...7..,24,55,12,4,0,2,0,2,2,Expert,
64..9....8...3.9.....2....53..4.7829......4........76...2..6.9.9..8..53.4.......6,26,39,14,0,1,1,0,2,0,Expert,
.4..61..85..2...7...1.......5..12..92....87....76.......9..7.4....12...5.6.8.9...,26,57,20,4,0,4,0,7,6,Expert,
.1.....7......2..8.2.57.3.6..7.64.......1..5...1...8.4.....1..3...2..4.7..28.....,24,41,15,0,0,0,0,1,0,Expert,
...4...3.59.1..76.61.9............98.6.8.53.......14.........8.1....95...8.5.36.7,27,38,15,2,0,6,1,1,0,Expert,
5.4.9....9..1.674..6...5..9......4.......73....5.3..........5...136..9.86.......1,24,48,15,0,0,0,0,2,2,Expert,
.....5...7..98..4.9..32.7..3..1.9..5.8.4..2.3.5...2..1..7.4..9..........83.......,25,47,8,1,2,1,0,1,0,Expert,
..27..4...839....149....76.....8.....4...28...6.43.....2.6.9..4.......2.....13...,25,66,8,0,0,2,0,3,2,Expert,
.1...2.3...4.....2..96......8......5....4..1......63..8..3.5.9..3..9..51.2.8..4..,24,36,20,1,0,3,0,1,0,Expert,
..765.........4.58.5.2............9.6.8.1.....7942...12...4....18......9.9...86..,25,53,14,0,0,0,1,2,2,Expert,
875.1........9.......5...4..81..5.9.96.......2...4...7...7.1..41..4.9..6.2.8...5.,26,38,15,3,0,0,0,2,0,Expert,
.....2.785.2........798..3.....7..2....3..4.5.19.........231..9.9.5..........714.,25,52,16,4,0,5,1,4,2,Expert,
8.26....56...2..473.4..................271....815.6.....7.5.81....1....6..3..4...,25,145,22,2,1,0,1,16,24,Expert,
4.......78..93.2...32....9....4.1.......89..1...3.......7..4.2.......5.9.4.196.7.,25,38,17,0,1,0,1,1,0,Expert,
9..1.4.....7...41.5.......82..7..9...5...6....1.9...82.62.9.7........6.5.7.....2.,25,50,28,1,0,0,0,4,6,Expert,
....2...6...974............39.......6...5....7.41.6.5..36.4.57.5.7..9.1..42...3.9,27,62,5,0,0,0,0,2,2,Expert,
7.98............61.8..23..9..67.81.39.....6.23....2........7...2...4..........374,25,38,20,0,0,0,0,2,2,Expert,
.34..8.7.7...6...8.8.5..3..5.2..4......1...82.417....5....4..3...7...2.6.........,25,63,12,0,0,0,1,2,2,Expert,
..37.....1..25..3..5...4.9.9...7....7.2..3..8.85....13..........4.38.......54.1..,25,43,26,0,0,2,0,2,2,Expert,
..3...19...68....2.9.1.5.6..28..6..55.1.....4....8..3..1..2....68.9.....3.9......,26,58,23,1,1,2,2,2,2,Expert,
...25.3.....34..9..4...86...7......8....72.....65..4.9.2.4...8......395....625...,26,49,15,2,0,0,0,2,2,Expert,
8...9...........13....5........2..769.58...2.2..6.9.5812.3...65..3.....7.8....1..,26,42,12,1,0,0,0,1,0,Expert,
.762.3..........4.35..1....1...2.....25.......69..4..5..34....7...3...646....519.,26,58,15,4,0,3,0,4,4,Expert,
8.9.3.2.13.59...6.16.7.......6...1.89..2..3...........687..2.3...3..9........5..7,27,55,5,3,0,1,0,8,4,Expert,
.....7..8........4......29..7..1...34...9..21...8...6.68.9......142.87..9....1..2,25,55,16,2,0,1,0,2,2,Expert,
...1.9.3..8...........4.5.....8.2....2..614..8..45.9...95...34.43....128.........,25,48,22,1,3,3,1,4,2,Expert,
4..3.......8.76....5.892..7.4.9...3.5....8..26....7.4.9...5...87.4..9....2.......,26,52,12,0,0,0,0,2,2,Expert,
.5........9..58.4.4.62.1..86.4...3...3.1...2..1.6.....3....28..9...1.....68.9..1.,27,53,10,1,0,0,0,2,2,Expert,
..47......6.........5.64....5...1...2..5.376....82.4......8.63..1.4...2...215..7.,26,61,19,3,0,0,0,5,6,Expert,
..86.3.7........2..1..5768363...21...71......4....6........5.16........5.2...83..,26,45,9,3,1,0,0,1,0,Expert,
..96..18......17....659...33.7......1.8.4.6.9.....5.4..3..7.........4...9....6.3.,25,62,13,2,0,1,0,2,2,Expert,
.6.4..2......7.61.2.316..7...1..9...39...81.77..........6..7...93......4..2...9..,26,36,18,1,0,1,0,1,0,Expert,
4.8.....2......36..7.2..9...2.8..7....6..31.........8...3....7.68...7.3...2..169.,25,56,14,1,0,1,0,2,2,Expert,
.......3...7.59.......849.2.3.4..5.....928..3.8...5..7.......86..58.2...24...3.5.,27,126,32,2,2,5,1,13,20,Expert,
.2.....6......51..9..41..721.59.2........7....7416..9.2.9....3.6.....7...1.....5.,26,37,16,2,1,5,0,2,0,Expert,
4.9..6......4.3..5...8...3...39...527.2...6...6.5.............6.97...84..847.....,25,31,24,2,1,1,2,1,0,Expert,
6.8....2.49..7....72.3.54.8.4..89...3...4......6.....7...4.7...97.2..83.....3....,27,56,19,1,0,1,0,2,2,Expert,
..6...7......59.4.8..4...1....5.8...7..9..56...2....9.4...87...9...2....6..1...5.,24,33,28,2,1,0,0,2,2,Expert,
....6.3...4.7....2..............6..9.3.2..41.6..95....9......731.6..2.5......51..,23,59,15,6,0,0,0,2,2,Expert,
..1..2.8....19....2...3.9.58.........79........25.1.7.3659........6.....1.....8..,23,41,16,0,0,1,0,1,0,Expert,
4.52....8........6.....643...4......5.897.....73..42.9.8..2.3....95........7.....,24,46,28,0,0,1,0,2,2,Expert,
..5.6......1.....3.3....127..6...8..5...76.4....3....18...5..3.......4562........,23,72,17,1,0,2,0,6,8,Expert,
5..9.1.7....7...9.........483..2....42...9.....94.7..87..8..3.9...2..5..2......17,26,37,16,0,1,3,3,2,0,Expert,
....61...1...8.7....3.4.....3.4....92.7.....3..92....8.4.39.1..8..........2..79..,24,48,19,2,0,2,0,4,2,Expert,
65.14....1.....59.9...7..4..4..........2.....76..3....3..4...19..73...2..91..24.3,27,46,7,0,1,1,0,1,0,Expert,
76..3.4....4....89.9...6.....6...8..23.1........4.......2..1....8.....634.....9.7,23,39,18,1,0,0,0,1,0,Expert,
.8..5..1.5.9.43...........99.3....5...6.31.48...5..6...9.....84...1...2.3.1......,25,44,19,0,0,0,1,2,2,Expert,
...6.9.....7..5.3.4..27....7.......6.823.654...4.8..........9...48.67..35.6..2...,27,53,7,1,0,1,0,2,2,Expert,
.53....21.......45...27.......468.3.6...32..8...7......6......2.7.3..65...8...3.7,26,45,15,1,1,1,0,3,2,Expert,
325....6.9..16..58.6.......4...5.6.....2...45..1......5...92......6.......254..83,26,105,29,1,1,2,1,10,12,Expert,
31....578......6....8.32........3..1..162.......7...656...............93.5.2..71.,24,96,15,2,1,0,0,8,14,Expert,
24......8..6.3.9.....8..6.7.9.........3....8..57.....6..85.4..3.657.3..4....96...,26,62,15,0,0,1,0,2,2,Expert,
..1....4..2..6..9343.1...........82.39....4.....6...1...4....3.17..2..86.6..7....,25,61,20,3,1,2,0,5,4,Expert,
..8...6.4.4...2...15..8..3.6...........5....8...2..1..52...631....13.5..4..7..8..,25,43,12,0,0,0,0,1,0,Expert,
.58...3..........9...548.....57.3.9.....9....6.......2...3...459...7...6...4..28.,23,44,13,1,1,2,0,1,0,Expert,
32.5..9.4..19....3.....167591.....42.4.......5...6......4.2....1.9...........4.61,26,61,20,2,2,2,0,6,6,Expert,
...13....9.....2......5.....1..95..3..2.8...7.4.......1....4..84.872...9.7...853.,25,48,7,1,0,1,0,1,0,Expert,
..9.3...4..3.168.....9.8....51.7......7.......9...45..1..3..4.88.6..7.9......136.,27,38,16,4,1,2,0,4,2,Expert,
.......51.4..8......65312.7...4.....2...76.1..5...2.......18.246.....13.....4...6,26,46,19,2,1,0,0,2,2,Expert,
3.7.9......87643......2....6....7.....2.56794..593.2..56....4...........27..8.6..,28,46,20,1,0,2,1,2,2,Expert,
........9.5.9317....2...16....62..7......85...6357...2897.6....3.........2......1,26,41,13,0,1,2,0,1,0,Expert,
.984.....6.17......2...1..9..7.....12....9..79...6........4.1.....8.29...59..6.4.,25,90,10,1,0,3,1,4,4,Expert,
4..76...8....4...9...8.2...9....54.....67...564.12.....7....96.2...1..8.........7,25,55,12,2,1,1,1,2,2,Expert,
.8942..5.4..7..3..3...5.9.8.6..........8.4......23.......6..89...7.9.43.2........,25,42,13,0,0,0,1,1,0,Expert,
..6.........29.....3.18.....5...39..3......4.289.5...1.....2.....26.8.15...5..32.,25,78,21,4,0,4,0,11,14,Expert,
..8.5...96.921....174..8.2..1...6.8.9..7..6......9..7....5.........74.......8..94,26,53,16,1,0,0,0,2,2,Expert,
.5..6.72.3....75....2....3......3..1.....9.....365.87...52.61..9.7.....5.......6.,25,36,18,2,1,4,0,2,0,Expert,
...43..5...385..626...7..9..........48...5...3....4.....7.4..859.....7..5.876...3,27,37,16,2,0,0,0,1,0,Expert,
....3.7.44....16....5..7...1..3.....7.85.9.....3.6.9....7.1.5..8....5..6.4.....1.,25,72,20,2,0,4,0,6,4,Expert,
.917.5.....742.8.9....8.7..24..6....1.68..4............62...1.8.8..1.29.....4....,27,36,16,1,1,3,0,2,0,Expert,
....42....9.3......3......12..4738..67.....2...8......7.......3.1.8....9...2367..,24,84,11,1,0,0,0,4,6,Expert,
.3......8...8..9.5...52......8....3...1.5..7....7.4..93..9...245..2......9....5.7,24,56,19,1,1,1,0,2,2,Expert,
57.1....43.2.8.71.8.45.73..9.....1.3.......7...12.4......9..4.22...............91,27,47,14,0,1,2,1,6,2,Expert,
..1.7.9.5.........2873...4..3.2...7..7..3...14......9...4...52885......3....1....,25,50,11,2,2,1,0,4,2,Expert,
.....5.....4.176....6.4...2......1.......9....6.47.53.9..5..7....1....4...32...6.,23,65,11,7,1,2,0,5,6,Expert,
.3.....4..761.428...8.3.7....492..............2.47.....4..8192...93...67...6.....,27,56,14,1,0,1,0,3,2,Expert,
