91.....7...7....4.......2.8.3......96.4......7.86.2.3...1..9.8.2.....764.8.7....2,26,32,23,2,0,0,0,0,0,Intermediate,
.8....7.14....89...29.734.6.73..1.......26......79.......8.4....42.1...7....6....,26,47,8,1,0,0,0,0,0,Intermediate,
.9...48..87.9...6...6..53..4.....1......1.68.5..3...4.1...3.5....7........4......,23,42,16,1,0,0,0,0,0,Intermediate,
....7.......2.3.417.....69.3..4......72.6......9...32.268.97.....7.2.....4.6.1...,26,39,16,1,0,0,0,0,0,Intermediate,
53.42........3.51.9..7.6.3.....4.9...4.........7.....6....15..3......7..19...7.2.,24,38,19,5,0,0,0,0,0,Intermediate,
.5...2.1....9..2....7.1.......2.6....6..9............5..5.7...11..4..6...296..857,24,42,15,1,0,0,1,0,0,Intermediate,
..69.......4.........182...8...9.6....56...9..4...8..29....61.81...3...5...5...29,25,41,15,2,0,0,0,0,0,Intermediate,
7...2.....891...45.465.........8.724....95..66..2......27......4.19......5.......,25,47,9,1,0,0,0,0,0,Intermediate,
..39517....7....4...1.8.3...3....4.......91.8958.......8..6..1..4............8.36,25,46,10,1,0,0,0,0,0,Intermediate,
.....3.6..6.........4..19...........19..7.5.6...4..13.31..2.67.2..91......6..74..,25,37,19,3,1,1,0,0,0,Intermediate,
.97..816..6....9..1.....2.78...2...5...........961..42..4...5.16...4..8.951......,27,47,7,1,0,1,0,0,0,Intermediate,
...87..9.78.13.........9...4..9..3..9...5...28....24..34......5....17......54.18.,26,38,17,1,0,0,0,0,0,Intermediate,
65.......2.....81.....2.4.5....75....8.........1..8..3.......8.7.6.3...2.234....6,23,39,19,2,0,3,0,0,0,Intermediate,
.5...7.....293...67..8....38..34......9.......276....85....9....76.....5....62.4.,25,45,11,2,1,1,0,0,0,Intermediate,
4..1....3....6........9.7.1.65..7.1.7......391..9...4..392.5..6.1.7..........6...,25,33,23,1,0,0,0,0,0,Intermediate,
.6...2....25...3..4....3...8......57..1.8..6............2..1..3.8..5.6..1...7...5,22,44,15,7,0,0,0,0,0,Intermediate,
.2...7..37.......8485.2....9...367..6..5...4..4.79.3.62.9....7.........48..2....5,28,47,6,1,0,0,0,0,0,Intermediate,
8...5......23.79.....9..58.31.8.....9.8..3......4..2......94..575.........123....,25,49,7,1,0,1,0,0,0,Intermediate,
.7.....6...8.2675..51.......1...........8..7....972..6...1..2..2...954.......8..7,24,33,24,1,0,0,0,0,0,Intermediate,
....6.2.......946..3.4..9.85..2....3..7..8....423.....7..5...9.8..64..7......3...,25,40,16,1,0,0,0,0,0,Intermediate,
5...4.1..8.4..69...3295..8....3....4.2.............8.5.6.....9..1...26..3.....5..,24,45,12,1,0,0,0,0,0,Intermediate,
9.8.....2.....79...5..93.8...5.4.87...41......3..7..511....8..........1......2..7,24,39,18,1,0,1,0,0,0,Intermediate,
..1...82.....6.59......3.......973...6.8.....2.....71.7.82...........15...53....7,23,51,7,0,2,2,0,0,0,Intermediate,
